4       0
3.9801	0.0996
3.9207	0.1981
3.8223	0.2948
3.6859	0.3884
3.5129	0.4783
3.305	0.5633
3.0642	0.6428
2.7929	0.7159
2.494	0.7818
2.1702	0.84
1.8248	0.8899
1.4614	0.9309
1.0834	0.9626
0.6946	0.9848
0.2989	0.9972
-0.0997	0.9997
-0.4974	0.9922
-0.8901	0.9749
-1.2739	0.9479
-1.6451	0.9115
-2      0.866
-2.335	0.8119
-2.6467	0.7498
-2.9322	0.6802
-3.1885	0.6038
-3.4132	0.5214
-3.6039	0.4339
-3.7588	0.342
-3.8763	0.2468
-3.9553	0.149
-3.995	0.0498
-3.995	-0.0498
-3.9553	-0.149
-3.8763	-0.2468
-3.7588	-0.342
-3.6039	-0.4339
-3.4132	-0.5214
-3.1885	-0.6038
-2.9322	-0.6802
-2.6467	-0.7498
-2.335	-0.8119
-2      -0.866
-1.6451	-0.9115
-1.2739	-0.9479
-0.8901	-0.9749
-0.4974	-0.9922
-0.0997	-0.9997
0.2989	-0.9972
0.6946	-0.9848
1.0834	-0.9626
1.4614	-0.9309
1.8248	-0.8899
2.1702	-0.84
2.494	-0.7818
2.7929	-0.7159
3.0642	-0.6428
3.305	-0.5633
3.5129	-0.4783
3.6859	-0.3884
3.8223	-0.2948
3.9207	-0.1981
3.9801	-0.0996
4       0.0
