4.0000         0
    3.9952    0.0491
    3.9807    0.0980
    3.9567    0.1467
    3.9231    0.1951
    3.8801    0.2430
    3.8278    0.2903
    3.7662    0.3369
    3.6955    0.3827
    3.6160    0.4276
    3.5277    0.4714
    3.4309    0.5141
    3.3259    0.5556
    3.2128    0.5957
    3.0920    0.6344
    2.9638    0.6716
    2.8284    0.7071
    2.6862    0.7410
    2.5376    0.7730
    2.3828    0.8032
    2.2223    0.8315
    2.0564    0.8577
    1.8856    0.8819
    1.7102    0.9040
    1.5307    0.9239
    1.3476    0.9415
    1.1611    0.9569
    0.9719    0.9700
    0.7804    0.9808
    0.5869    0.9892
    0.3921    0.9952
    0.1963    0.9988
    0.0000    1.0000
   -0.1963    0.9988
   -0.3921    0.9952
   -0.5869    0.9892
   -0.7804    0.9808
   -0.9719    0.9700
   -1.1611    0.9569
   -1.3476    0.9415
   -1.5307    0.9239
   -1.7102    0.9040
   -1.8856    0.8819
   -2.0564    0.8577
   -2.2223    0.8315
   -2.3828    0.8032
   -2.5376    0.7730
   -2.6862    0.7410
   -2.8284    0.7071
   -2.9638    0.6716
   -3.0920    0.6344
   -3.2128    0.5957
   -3.3259    0.5556
   -3.4309    0.5141
   -3.5277    0.4714
   -3.6160    0.4276
   -3.6955    0.3827
   -3.7662    0.3369
   -3.8278    0.2903
   -3.8801    0.2430
   -3.9231    0.1951
   -3.9567    0.1467
   -3.9807    0.0980
   -3.9952    0.0491
   -4.0000    0.0000
   -3.9952   -0.0491
   -3.9807   -0.0980
   -3.9567   -0.1467
   -3.9231   -0.1951
   -3.8801   -0.2430
   -3.8278   -0.2903
   -3.7662   -0.3369
   -3.6955   -0.3827
   -3.6160   -0.4276
   -3.5277   -0.4714
   -3.4309   -0.5141
   -3.3259   -0.5556
   -3.2128   -0.5957
   -3.0920   -0.6344
   -2.9638   -0.6716
   -2.8284   -0.7071
   -2.6862   -0.7410
   -2.5376   -0.7730
   -2.3828   -0.8032
   -2.2223   -0.8315
   -2.0564   -0.8577
   -1.8856   -0.8819
   -1.7102   -0.9040
   -1.5307   -0.9239
   -1.3476   -0.9415
   -1.1611   -0.9569
   -0.9719   -0.9700
   -0.7804   -0.9808
   -0.5869   -0.9892
   -0.3921   -0.9952
   -0.1963   -0.9988
   -0.0000   -1.0000
    0.1963   -0.9988
    0.3921   -0.9952
    0.5869   -0.9892
    0.7804   -0.9808
    0.9719   -0.9700
    1.1611   -0.9569
    1.3476   -0.9415
    1.5307   -0.9239
    1.7102   -0.9040
    1.8856   -0.8819
    2.0564   -0.8577
    2.2223   -0.8315
    2.3828   -0.8032
    2.5376   -0.7730
    2.6862   -0.7410
    2.8284   -0.7071
    2.9638   -0.6716
    3.0920   -0.6344
    3.2128   -0.5957
    3.3259   -0.5556
    3.4309   -0.5141
    3.5277   -0.4714
    3.6160   -0.4276
    3.6955   -0.3827
    3.7662   -0.3369
    3.8278   -0.2903
    3.8801   -0.2430
    3.9231   -0.1951
    3.9567   -0.1467
    3.9807   -0.0980
    3.9952   -0.0491
