3           2
2.979529941	2.20129852
2.918957812	2.394355855
2.820763441	2.571268215
2.688966919	2.724792787
2.52896401	2.848644257
2.347305253	2.937752132
2.151427778	2.988468324
1.949350831	2.998716507
1.749347468	2.968077119
1.559605848	2.89780454
1.387894017	2.790775737
1.241241877	2.651372483
1.125653384	2.485301963
1.045860744	2.299363123
1.005130677	2.101168322
1.005130677	1.898831678
1.045860744	1.700636877
1.125653384	1.514698037
1.241241877	1.348627517
1.387894017	1.209224263
1.559605848	1.10219546
1.749347468	1.031922881
1.949350831	1.001283493
2.151427778	1.011531676
2.347305253	1.062247868
2.52896401	1.151355743
2.688966919	1.275207213
2.820763441	1.428731785
2.918957812	1.605644145
2.979529941	1.79870148
3           2
